"Timestamp","Do you plan to vote in 2019 election?","According to your opinion, in your area which party has the highest possibility of wining the next presidential election ?","Who are you planning to vote in the coming election ?","Reason for above selection ?","What is the most important factor you will consider when voting ?","What is your age range?","Male / Female","What is your religion?","What is your highest educational qualification?","What is your current employment status ?","What is your ethnicity?","Your province?","District","Who do you think has the best expertise in the area of national security? ","Who do you think has the best expertise in the area of national development? ","Which candidate has the best answer for unemployment?","Which candidate has the best answer for cost of living?","Which candidate has the best answer to religious and ethnic issues?"
"2019/11/05 11:28:56 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Strong visionabel leader","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 7:23:37 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Other","Nandasena Gotabaya Rajapaksa"
"2019/11/06 7:44:38 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Only one who has proven his capacity. No BS. ","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Southern","Matara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 9:25:49 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Need a peaceful country to live","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 9:39:35 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Looking for a big change in the entire system","National development","Less than 25","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 10:13:44 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Need a change in the country","National development","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 11:18:30 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Common Sense - Lesser of the 2 evils","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Matara","Nandasena Gotabaya Rajapaksa","Other","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 11:52:28 am GMT+5:30","No","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","A/L","Government employee","Sinhala","Central","Kandy","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 12:38:19 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","According to country defense situation ","National security","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/06 4:11:19 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Sajith Premadasa (New Democratic Front)","","National development","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
